TINDAK SEQUENCE NUMBER,NEGERI,JENIS UNDI,KOD PARLIMEN,NAMA PARLIMEN,KOD DUN,NAMA DUN,KOD DM,NAMA DAERAH MENGUNDI,NAMA PUSAT MENGUNDI,NOMBOR TEMPAT MENGUNDI,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),BN,BN_CALON,BN_UNDI,PH,PH_CALON,PH_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,LAIN2,LAIN2_CALON,LAIN2_UNDI,LAIN3,LAIN3_CALON,LAIN3_UNDI,LAIN4_UNDI,LAIN4_CALON,LAIN4_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
42,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,3,334,MCA,WEE JECK SENG,182,PPBM,HAJI KARMAINE BIN  SARDINI,90,GERAKAN,WENDY SUBRAMANIAM,50,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,5,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,328,6,0
43,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,4,314,MCA,WEE JECK SENG,156,PPBM,HAJI KARMAINE BIN  SARDINI,104,GERAKAN,WENDY SUBRAMANIAM,41,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,309,5,0
44,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,5,309,MCA,WEE JECK SENG,145,PPBM,HAJI KARMAINE BIN  SARDINI,123,GERAKAN,WENDY SUBRAMANIAM,37,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,308,1,0
45,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,6,374,MCA,WEE JECK SENG,197,PPBM,HAJI KARMAINE BIN  SARDINI,143,GERAKAN,WENDY SUBRAMANIAM,28,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,372,2,0
46,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/09,BANDAR PEKAN NENAS TIMOR,SEKOLAH MENENGAH KEBANGSAAN PEKAN NENAS,7,351,MCA,WEE JECK SENG,204,PPBM,HAJI KARMAINE BIN  SARDINI,111,GERAKAN,WENDY SUBRAMANIAM,27,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,349,2,0
47,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,1,230,MCA,WEE JECK SENG,148,PPBM,HAJI KARMAINE BIN  SARDINI,51,GERAKAN,WENDY SUBRAMANIAM,22,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,223,7,0
48,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,2,263,MCA,WEE JECK SENG,158,PPBM,HAJI KARMAINE BIN  SARDINI,70,GERAKAN,WENDY SUBRAMANIAM,28,BERJASA,DATO' DR  BADHRULHISHAM,0,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,258,5,0
49,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,3,340,MCA,WEE JECK SENG,191,PPBM,HAJI KARMAINE BIN  SARDINI,100,GERAKAN,WENDY SUBRAMANIAM,39,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,336,4,0
50,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,4,322,MCA,WEE JECK SENG,169,PPBM,HAJI KARMAINE BIN  SARDINI,110,GERAKAN,WENDY SUBRAMANIAM,34,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,319,3,0
51,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,5,373,MCA,WEE JECK SENG,206,PPBM,HAJI KARMAINE BIN  SARDINI,129,GERAKAN,WENDY SUBRAMANIAM,30,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,371,2,0
52,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,6,376,MCA,WEE JECK SENG,175,PPBM,HAJI KARMAINE BIN  SARDINI,154,GERAKAN,WENDY SUBRAMANIAM,34,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,6,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,371,5,0
53,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,7,369,MCA,WEE JECK SENG,182,PPBM,HAJI KARMAINE BIN  SARDINI,149,GERAKAN,WENDY SUBRAMANIAM,26,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,5,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,367,2,0
54,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/10,BANDAR PEKAN NENAS TENGAH,SEKOLAH KEBANGSAAN PEKAN NENAS,8,373,MCA,WEE JECK SENG,221,PPBM,HAJI KARMAINE BIN  SARDINI,120,GERAKAN,WENDY SUBRAMANIAM,24,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,370,3,0
55,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),1,224,MCA,WEE JECK SENG,156,PPBM,HAJI KARMAINE BIN  SARDINI,34,GERAKAN,WENDY SUBRAMANIAM,9,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,206,18,0
56,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),2,263,MCA,WEE JECK SENG,172,PPBM,HAJI KARMAINE BIN  SARDINI,61,GERAKAN,WENDY SUBRAMANIAM,19,BERJASA,DATO' DR  BADHRULHISHAM,4,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,258,5,0
57,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),3,354,MCA,WEE JECK SENG,221,PPBM,HAJI KARMAINE BIN  SARDINI,87,GERAKAN,WENDY SUBRAMANIAM,39,BERJASA,DATO' DR  BADHRULHISHAM,0,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,347,7,0
58,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),4,418,MCA,WEE JECK SENG,265,PPBM,HAJI KARMAINE BIN  SARDINI,106,GERAKAN,WENDY SUBRAMANIAM,38,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,410,8,0
59,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),5,426,MCA,WEE JECK SENG,260,PPBM,HAJI KARMAINE BIN  SARDINI,122,GERAKAN,WENDY SUBRAMANIAM,30,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,3,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,420,6,0
60,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),6,388,MCA,WEE JECK SENG,239,PPBM,HAJI KARMAINE BIN  SARDINI,118,GERAKAN,WENDY SUBRAMANIAM,23,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,386,2,0
61,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),7,384,MCA,WEE JECK SENG,205,PPBM,HAJI KARMAINE BIN  SARDINI,135,GERAKAN,WENDY SUBRAMANIAM,33,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,3,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,379,5,0
62,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),8,402,MCA,WEE JECK SENG,231,PPBM,HAJI KARMAINE BIN  SARDINI,126,GERAKAN,WENDY SUBRAMANIAM,26,BERJASA,DATO' DR  BADHRULHISHAM,9,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,397,5,0
63,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/11,BANDAR PEKAN NENAS SELATAN,SEKOLAH JENIS KEBANGSAAN (CINA) YU MING (1),9,409,MCA,WEE JECK SENG,284,PPBM,HAJI KARMAINE BIN  SARDINI,89,GERAKAN,WENDY SUBRAMANIAM,19,BERJASA,DATO' DR  BADHRULHISHAM,11,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,405,4,0
64,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/01,LADANG SUNGAI BURONG,SEKOLAH KEBANGSAAN JERAM BATU,1,145,MCA,WEE JECK SENG,120,PPBM,HAJI KARMAINE BIN  SARDINI,15,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,3,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,143,2,0
65,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/01,LADANG SUNGAI BURONG,SEKOLAH KEBANGSAAN JERAM BATU,2,191,MCA,WEE JECK SENG,147,PPBM,HAJI KARMAINE BIN  SARDINI,30,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,11,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,190,1,0
66,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/02,JALAN RIMBA TERJUN,SEKOLAH JENIS KEBANGSAAN (CINA) BIN CHONG,1,243,MCA,WEE JECK SENG,119,PPBM,HAJI KARMAINE BIN  SARDINI,76,GERAKAN,WENDY SUBRAMANIAM,31,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,236,7,0
67,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/02,JALAN RIMBA TERJUN,SEKOLAH JENIS KEBANGSAAN (CINA) BIN CHONG,2,253,MCA,WEE JECK SENG,106,PPBM,HAJI KARMAINE BIN  SARDINI,102,GERAKAN,WENDY SUBRAMANIAM,31,BERJASA,DATO' DR  BADHRULHISHAM,0,BEBAS - KUNCI,DR. ANG CHUAN LOCK,12,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,251,2,0
68,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/02,JALAN RIMBA TERJUN,SEKOLAH JENIS KEBANGSAAN (CINA) BIN CHONG,3,358,MCA,WEE JECK SENG,140,PPBM,HAJI KARMAINE BIN  SARDINI,165,GERAKAN,WENDY SUBRAMANIAM,28,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,15,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,351,7,0
69,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/02,JALAN RIMBA TERJUN,SEKOLAH JENIS KEBANGSAAN (CINA) BIN CHONG,4,361,MCA,WEE JECK SENG,150,PPBM,HAJI KARMAINE BIN  SARDINI,141,GERAKAN,WENDY SUBRAMANIAM,24,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,36,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,357,3,1
70,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,1,200,MCA,WEE JECK SENG,105,PPBM,HAJI KARMAINE BIN  SARDINI,57,GERAKAN,WENDY SUBRAMANIAM,28,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,194,6,0
71,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,2,266,MCA,WEE JECK SENG,165,PPBM,HAJI KARMAINE BIN  SARDINI,60,GERAKAN,WENDY SUBRAMANIAM,29,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,4,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,260,6,0
72,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,3,331,MCA,WEE JECK SENG,167,PPBM,HAJI KARMAINE BIN  SARDINI,125,GERAKAN,WENDY SUBRAMANIAM,32,BERJASA,DATO' DR  BADHRULHISHAM,2,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,328,3,0
73,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,4,354,MCA,WEE JECK SENG,184,PPBM,HAJI KARMAINE BIN  SARDINI,123,GERAKAN,WENDY SUBRAMANIAM,37,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,7,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,352,2,0
74,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,5,393,MCA,WEE JECK SENG,216,PPBM,HAJI KARMAINE BIN  SARDINI,135,GERAKAN,WENDY SUBRAMANIAM,24,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,10,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,388,5,0
75,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,6,406,MCA,WEE JECK SENG,198,PPBM,HAJI KARMAINE BIN  SARDINI,162,GERAKAN,WENDY SUBRAMANIAM,26,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,12,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,404,2,0
76,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,7,350,MCA,WEE JECK SENG,169,PPBM,HAJI KARMAINE BIN  SARDINI,139,GERAKAN,WENDY SUBRAMANIAM,20,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,15,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,349,1,0
77,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,8,397,MCA,WEE JECK SENG,192,PPBM,HAJI KARMAINE BIN  SARDINI,151,GERAKAN,WENDY SUBRAMANIAM,21,BERJASA,DATO' DR  BADHRULHISHAM,10,BEBAS - KUNCI,DR. ANG CHUAN LOCK,18,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,392,4,1
78,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/03,KAMPONG DUKU,SEKOLAH JENIS KEBANGSAAN (CINA) CHEOW MIN,9,383,MCA,WEE JECK SENG,221,PPBM,HAJI KARMAINE BIN  SARDINI,121,GERAKAN,WENDY SUBRAMANIAM,6,BERJASA,DATO' DR  BADHRULHISHAM,13,BEBAS - KUNCI,DR. ANG CHUAN LOCK,19,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,381,2,0
79,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/04,KAMPONG RIMBA TERJUN,SEKOLAH KEBANGSAAN RIMBA TERJUN,1,248,MCA,WEE JECK SENG,176,PPBM,HAJI KARMAINE BIN  SARDINI,59,GERAKAN,WENDY SUBRAMANIAM,7,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,247,1,0
80,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/04,KAMPONG RIMBA TERJUN,SEKOLAH KEBANGSAAN RIMBA TERJUN,2,297,MCA,WEE JECK SENG,195,PPBM,HAJI KARMAINE BIN  SARDINI,82,GERAKAN,WENDY SUBRAMANIAM,5,BERJASA,DATO' DR  BADHRULHISHAM,8,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,293,4,0
81,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/04,KAMPONG RIMBA TERJUN,SEKOLAH KEBANGSAAN RIMBA TERJUN,3,377,MCA,WEE JECK SENG,223,PPBM,HAJI KARMAINE BIN  SARDINI,123,GERAKAN,WENDY SUBRAMANIAM,12,BERJASA,DATO' DR  BADHRULHISHAM,10,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,370,7,0
82,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/04,KAMPONG RIMBA TERJUN,SEKOLAH KEBANGSAAN RIMBA TERJUN,4,337,MCA,WEE JECK SENG,200,PPBM,HAJI KARMAINE BIN  SARDINI,103,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,21,BEBAS - KUNCI,DR. ANG CHUAN LOCK,8,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,335,2,0
83,JOHOR,UNDI BIASA,165,TANJUNG PIAI,56,KUKUP,165/56/04,KAMPONG RIMBA TERJUN,SEKOLAH KEBANGSAAN RIMBA TERJUN,5,344,MCA,WEE JECK SENG,223,PPBM,HAJI KARMAINE BIN  SARDINI,82,GERAKAN,WENDY SUBRAMANIAM,4,BERJASA,DATO' DR  BADHRULHISHAM,25,BEBAS - KUNCI,DR. ANG CHUAN LOCK,8,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,343,1,0
