Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PH,PH_CALON,PH_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,4,259,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,199,UMNO,LOKMAN NOOR BIN ADAM,57,BEBAS - PEN,MURTHY A/L KRISHNASAMY,3,259,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,5,243,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,150,UMNO,LOKMAN NOOR BIN ADAM,92,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,243,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,6,267,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,177,UMNO,LOKMAN NOOR BIN ADAM,87,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,264,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/09,TAMAN SERI ANDALAS 2,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS KLANG,7,282,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,191,UMNO,LOKMAN NOOR BIN ADAM,89,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,280,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,1,169,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,107,UMNO,LOKMAN NOOR BIN ADAM,57,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,165,4,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,2,181,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,118,UMNO,LOKMAN NOOR BIN ADAM,59,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,179,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,3,244,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,182,UMNO,LOKMAN NOOR BIN ADAM,59,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,241,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,4,200,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,153,UMNO,LOKMAN NOOR BIN ADAM,46,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,200,0,1
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,5,193,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,143,UMNO,LOKMAN NOOR BIN ADAM,46,BEBAS - PEN,MURTHY A/L KRISHNASAMY,4,193,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/10,BUKIT JATI,SEKOLAH RENDAH AGAMA KAMPUNG JAWA,6,180,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,129,UMNO,LOKMAN NOOR BIN ADAM,50,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,179,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,1,188,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,114,UMNO,LOKMAN NOOR BIN ADAM,71,BEBAS - PEN,MURTHY A/L KRISHNASAMY,3,188,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,2,173,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,104,UMNO,LOKMAN NOOR BIN ADAM,67,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,171,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,3,199,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,125,UMNO,LOKMAN NOOR BIN ADAM,73,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,198,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,4,215,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,134,UMNO,LOKMAN NOOR BIN ADAM,80,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,215,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,5,165,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,81,UMNO,LOKMAN NOOR BIN ADAM,82,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,165,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,6,174,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,100,UMNO,LOKMAN NOOR BIN ADAM,72,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,174,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/11,TAMAN SERI ANDALAS 3,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,7,179,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,106,UMNO,LOKMAN NOOR BIN ADAM,72,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,179,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/12,JALAN RAYA TIMUR,"SEKOLAH MENENGAH (PSDN) CHUNG HUA, JALAN KOTA RAJA KLANG",1,109,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,89,UMNO,LOKMAN NOOR BIN ADAM,20,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,109,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/13,BANDAR PUTERI KLANG,DEWAN SERBAGUNA KLANG JAYA,1,139,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,78,UMNO,LOKMAN NOOR BIN ADAM,54,BEBAS - PEN,MURTHY A/L KRISHNASAMY,4,136,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/13,BANDAR PUTERI KLANG,DEWAN SERBAGUNA KLANG JAYA,2,158,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,126,UMNO,LOKMAN NOOR BIN ADAM,27,BEBAS - PEN,MURTHY A/L KRISHNASAMY,3,156,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/13,BANDAR PUTERI KLANG,DEWAN SERBAGUNA KLANG JAYA,3,265,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,196,UMNO,LOKMAN NOOR BIN ADAM,67,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,264,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/13,BANDAR PUTERI KLANG,DEWAN SERBAGUNA KLANG JAYA,4,246,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,193,UMNO,LOKMAN NOOR BIN ADAM,52,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,246,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/13,BANDAR PUTERI KLANG,DEWAN SERBAGUNA KLANG JAYA,5,211,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,153,UMNO,LOKMAN NOOR BIN ADAM,57,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,211,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/13,BANDAR PUTERI KLANG,DEWAN SERBAGUNA KLANG JAYA,6,144,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,118,UMNO,LOKMAN NOOR BIN ADAM,25,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,144,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/13,BANDAR PUTERI KLANG,DEWAN SERBAGUNA KLANG JAYA,7,167,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,131,UMNO,LOKMAN NOOR BIN ADAM,35,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,167,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/14,JALAN KEBUN,SEKOLAH KEBANGSAAN JALAN KEBUN,1,235,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,121,UMNO,LOKMAN NOOR BIN ADAM,109,BEBAS - PEN,MURTHY A/L KRISHNASAMY,3,233,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/14,JALAN KEBUN,SEKOLAH KEBANGSAAN JALAN KEBUN,2,256,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,136,UMNO,LOKMAN NOOR BIN ADAM,118,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,255,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/14,JALAN KEBUN,SEKOLAH KEBANGSAAN JALAN KEBUN,3,402,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,234,UMNO,LOKMAN NOOR BIN ADAM,165,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,400,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/14,JALAN KEBUN,SEKOLAH KEBANGSAAN JALAN KEBUN,4,373,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,227,UMNO,LOKMAN NOOR BIN ADAM,145,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,372,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/14,JALAN KEBUN,SEKOLAH KEBANGSAAN JALAN KEBUN,5,334,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,210,UMNO,LOKMAN NOOR BIN ADAM,123,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,333,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/14,JALAN KEBUN,SEKOLAH KEBANGSAAN JALAN KEBUN,6,329,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,198,UMNO,LOKMAN NOOR BIN ADAM,129,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,328,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/14,JALAN KEBUN,SEKOLAH KEBANGSAAN JALAN KEBUN,7,321,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,192,UMNO,LOKMAN NOOR BIN ADAM,127,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,319,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/14,JALAN KEBUN,SEKOLAH KEBANGSAAN JALAN KEBUN,8,314,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,119,UMNO,LOKMAN NOOR BIN ADAM,114,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,234,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,1,217,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,72,UMNO,LOKMAN NOOR BIN ADAM,141,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,214,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,2,214,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,94,UMNO,LOKMAN NOOR BIN ADAM,118,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,213,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,3,334,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,172,UMNO,LOKMAN NOOR BIN ADAM,158,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,330,4,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,4,319,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,158,UMNO,LOKMAN NOOR BIN ADAM,158,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,316,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,5,295,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,128,UMNO,LOKMAN NOOR BIN ADAM,165,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,293,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,6,268,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,137,UMNO,LOKMAN NOOR BIN ADAM,129,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,266,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,7,242,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,118,UMNO,LOKMAN NOOR BIN ADAM,122,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,240,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,8,242,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,140,UMNO,LOKMAN NOOR BIN ADAM,100,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,242,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/15,JOHAN SETIA,SEKOLAH KEBANGSAAN KAMPUNG JOHAN SETIA KLANG,9,238,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,139,UMNO,LOKMAN NOOR BIN ADAM,99,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,238,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/16,SERI GAMBUT,SEKOLAH RENDAH AGAMA BUKIT NAGA BATU 6 KLANG,1,233,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,79,UMNO,LOKMAN NOOR BIN ADAM,151,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,230,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/16,SERI GAMBUT,SEKOLAH RENDAH AGAMA BUKIT NAGA BATU 6 KLANG,2,208,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,97,UMNO,LOKMAN NOOR BIN ADAM,109,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,206,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/16,SERI GAMBUT,SEKOLAH RENDAH AGAMA BUKIT NAGA BATU 6 KLANG,3,302,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,142,UMNO,LOKMAN NOOR BIN ADAM,160,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,302,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/17,KAMPUNG BUKIT NAGA,"SEKOLAH KEBANGSAAN BUKIT NAGA BATU 6, KAMPUNG BUKIT NAGA KLANG",1,265,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,80,UMNO,LOKMAN NOOR BIN ADAM,183,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,264,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/17,KAMPUNG BUKIT NAGA,"SEKOLAH KEBANGSAAN BUKIT NAGA BATU 6, KAMPUNG BUKIT NAGA KLANG",2,213,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,111,UMNO,LOKMAN NOOR BIN ADAM,100,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,211,2,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/17,KAMPUNG BUKIT NAGA,"SEKOLAH KEBANGSAAN BUKIT NAGA BATU 6, KAMPUNG BUKIT NAGA KLANG",3,236,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,121,UMNO,LOKMAN NOOR BIN ADAM,114,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,235,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/17,KAMPUNG BUKIT NAGA,"SEKOLAH KEBANGSAAN BUKIT NAGA BATU 6, KAMPUNG BUKIT NAGA KLANG",4,216,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,114,UMNO,LOKMAN NOOR BIN ADAM,99,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,215,1,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/18,HAJI HUSIN JALAN KEBUN,SEKOLAH RENDAH AGAMA JALAN KEBUN,1,256,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,120,UMNO,LOKMAN NOOR BIN ADAM,125,BEBAS - PEN,MURTHY A/L KRISHNASAMY,2,247,9,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/18,HAJI HUSIN JALAN KEBUN,SEKOLAH RENDAH AGAMA JALAN KEBUN,2,231,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,115,UMNO,LOKMAN NOOR BIN ADAM,113,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,228,3,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/18,HAJI HUSIN JALAN KEBUN,SEKOLAH RENDAH AGAMA JALAN KEBUN,3,345,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,194,UMNO,LOKMAN NOOR BIN ADAM,146,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,340,5,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/18,HAJI HUSIN JALAN KEBUN,SEKOLAH RENDAH AGAMA JALAN KEBUN,4,285,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,151,UMNO,LOKMAN NOOR BIN ADAM,134,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,285,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/19,TAMAN BERJAYA,SEKOLAH MENENGAH KEBANGSAAN JALAN KEBUN,1,245,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,154,UMNO,LOKMAN NOOR BIN ADAM,91,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,245,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/19,TAMAN BERJAYA,SEKOLAH MENENGAH KEBANGSAAN JALAN KEBUN,2,182,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,113,UMNO,LOKMAN NOOR BIN ADAM,65,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,178,4,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/19,TAMAN BERJAYA,SEKOLAH MENENGAH KEBANGSAAN JALAN KEBUN,3,190,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,128,UMNO,LOKMAN NOOR BIN ADAM,62,BEBAS - PEN,MURTHY A/L KRISHNASAMY,0,190,0,0
UNDI BIASA,111,KOTA RAJA,49,SUNGAI KANDIS,111/49/19,TAMAN BERJAYA,SEKOLAH MENENGAH KEBANGSAAN JALAN KEBUN,4,179,PKR,MOHD ZAWAWI BIN AHMAD MUGHNI,117,UMNO,LOKMAN NOOR BIN ADAM,61,BEBAS - PEN,MURTHY A/L KRISHNASAMY,1,179,0,0
